Target	SeqId	Type	Dilution	RefLog10Median	RefLog10MAD	RefMedian	RefSD
Calpactin I light chain	15318-75	Protein	20.0	3.2725145896509518	0.08608211825294335	1872.9	3596.6643329373737
CCNA1	15319-226	Protein	20.0	2.820464190577684	0.061553882170926555	661.4	983.5952228311565
CPLX2	15321-8	Protein	20.0	2.9370161074648142	0.10925777200162773	865.0	4058.6747614788483
CRADD	15322-35	Protein	20.0	3.465427468452574	0.21188858623540413	2920.3	2369.88707192286
AGO3	15323-112	Protein	20.0	3.20104189554268	0.2237665566605041	1588.7	2165.6861091842543
Ferritin light chain	15324-58	Protein	0.5	4.1938978446149315	0.30850955552091724	15627.8	13621.22524484598
NEUM	15325-14	Protein	20.0	3.96632010897034	0.7388544243021059	9253.8	22827.450034911166
GBP1	15326-64	Protein	20.0	4.2737395239139655	0.14126747960008273	18781.9	14986.525679150238
MAPIP	15329-167	Protein	20.0	2.9494875899465036	0.12049701419611747	890.2	1200.142708044035
RBBP4	15331-47	Protein	20.0	3.3676167921346756	0.16132051657079105	2331.4	7062.371603126351
SDF2	15333-11	Protein	20.0	2.693639026161548	0.09823032573095404	493.9	533.9023268579836
SELM	15336-7	Protein	20.0	4.1831359749173815	0.06946920391241337	15245.3	8319.33118284991
COF2	15339-32	Protein	20.0	2.8068580295188172	0.34325749484194834	641.0	5786.038953355055
Kininogen, HMW, Two Chain	15343-337	Protein	0.5	3.5376050421517773	0.1665190993226089	3448.3	2083.7278625845074
IFN-g	15346-31	Protein	20.0	2.6691308473733324	0.1055855573047635	466.8	1052.0225579365003
Hemopexin	15347-12	Protein	0.005	5.349964665097508	0.03848916000419499	223853.9	32288.278896999225
7B2	15358-28	Protein	20.0	4.115683719899081	0.1877222721429841	13052.2	6924.443580975783
ANKR1	15361-37	Protein	20.0	2.9143960521297863	0.07252809882152203	821.1	1448.2956912416305
Apo A-V	15363-32	Protein	0.5	4.0992350708997245	0.1958697901414353	12567.1	7432.899181484269
Apo C-I	15364-101	Protein	0.005	5.237593498201477	0.050635821859375735	172819.8	28134.757711139664
BAI3	15365-41	Protein	20.0	2.7466341989375787	0.07834692800749002	558.0	742.4065777742705
LPLC1	15367-38	Protein	0.005	3.9881797869810045	0.25448716874961447	9731.5	7325.830302677813
BMPER	15368-3	Protein	20.0	3.291701770729981	0.08779066599571107	1957.5	841.0103811154884
BOLA1	15370-5	Protein	20.0	3.0728378746630867	0.20077442710816662	1182.6	1929.6695782558033
BRD2	15372-43	Protein	20.0	2.696967640744023	0.10284935314005507	497.7	1467.5487400584602
CA11 protein	15374-15	Protein	20.0	3.170379076423074	0.07501298610789513	1480.4	3179.3326178343477
Carboxypeptidase B1	15375-49	Protein	0.5	3.385016090135945	0.19149235438095674	2426.7	2144.976973141748
CATE	15376-134	Protein	20.0	2.978864984347657	0.09024052883433688	952.5	1199.3919695946242
Discoidin domain receptor 2	15381-45	Protein	20.0	2.731346975545955	0.0832017416670551	538.7	567.8833700495153
Endothelin 3	15383-200	Protein	20.0	2.9595183769729982	0.08198207919094364	911.0	1003.6675350402843
KLOTHO	15384-15	Protein	20.0	3.4666748872099853	0.11412677358139472	2928.7	953.5644924260087
FABP2	15385-116	Protein	20.0	3.215002707214952	0.13852492187692705	1640.6	1527.9637402536348
FABPA	15386-7	Protein	20.0	4.3894177249836	0.2103209456053834	24514.2	14085.629485081641
Neuropilin-2	15387-44	Protein	0.5	4.382296270818956	0.06342272811521099	24115.5	3889.342213816364
FcRIIIa	15388-24	Protein	0.5	3.586193335698542	0.7452528145622438	3856.5	4173.202606136652
FRDA	15389-1	Protein	20.0	2.629409599102719	0.0683441773670243	426.0	1172.842522320869
Galanin	15390-3	Protein	20.0	3.1704964057448475	0.09581740605520872	1480.8	1630.829222027669
GAS-6	15391-114	Protein	0.5	3.1149777447853078	0.09778302316838049	1303.1	683.1132018261102
UNC5B	15394-79	Protein	20.0	3.9966035997642	0.09359139324152832	9922.1	2387.0351232734274
GST M1-1	15395-15	Protein	20.0	2.944778681123507	0.19194752412695695	880.6	956.5823957417459
HERV1	15398-2	Protein	20.0	3.0725072355288043	0.22185175375660868	1181.7	3024.339754267081
ID-1	15402-2	Protein	20.0	2.951725975424592	0.13664759586301248	894.8	1107.4750442811771
ID2	15403-53	Protein	20.0	2.8049567998574916	0.09635298843175791	638.2	1488.981920698796
IFN21	15404-3	Protein	20.0	2.498034723687027	0.08961246841111256	314.8	1005.7270824755507
IFNA4	15405-23	Protein	20.0	2.55108386518578	0.07089214011658786	355.7	604.7358315383918
KIAP	15412-40	Protein	20.0	2.6154239528859438	0.0785958866251194	412.5	1060.8449354696045
LCAT	15413-3	Protein	0.5	2.6847556221086237	0.08103678458298555	483.9	1802.9831437602659
LDHA	15414-316	Protein	0.5	4.519583880548254	0.17601912605549255	33081.4	19159.518667632703
LYG2	15416-54	Protein	20.0	3.1674650288430883	0.150778631092281	1470.5	1323.9359518377662
Maspin	15417-3	Protein	20.0	2.7548832282521674	0.13448812955495068	568.7	926.8494699931741
MK10	15418-25	Protein	0.5	3.214843848047698	0.541688010377469	1640.0	3341.6764101724198
MMP20	15419-15	Protein	20.0	3.019988159591285	0.10786012937849569	1047.1	1517.7163114316102
MYP2	15422-12	Protein	20.0	2.1696744340588068	0.0946335007518967	147.8	448.6723828307456
NEUR1	15426-5	Protein	20.0	3.6120417446452695	0.10061240946536873	4093.0	2653.5880572085093
LOXL3	15427-35	Protein	0.5	3.547454710572725	0.2789242987633627	3527.4	4044.7356928298987
OPT	15430-165	Protein	20.0	3.5669204277558264	0.08973800334986208	3689.1	3262.6578416559305
OTCase	15431-31	Protein	0.5	3.26934946929472	0.29698090461738624	1859.3	2832.961076598286
Otoraplin	15432-1	Protein	20.0	3.1062929121756575	0.14648574774353992	1277.3	3722.443143639203
p60-Src	15433-4	Protein	0.5	3.671533833044678	0.6292827680067521	4693.9	10853.576852188653
PNOC	15434-5	Protein	20.0	2.5917322389518356	0.09215161401796353	390.6	1184.5906740295404
PNP	15435-4	Protein	0.5	3.6562994839294567	0.3579558345338562	4532.1	5751.2391521380005
RAMP1	15436-40	Protein	20.0	2.7658919764300154	0.07669490947212138	583.3	672.4866614362047
RAMP3	15437-11	Protein	20.0	2.999695887410839	0.09317931653869493	999.3	1246.158336130037
RND3	15439-21	Protein	20.0	2.7544247892772584	0.08093090131339052	568.1	1466.665246290679
NEC2	15440-57	Protein	20.0	2.982361701633147	0.07697983082967934	960.2	1119.1485717414887
SAP3	15441-6	Protein	0.5	3.0957271225559797	0.09088235590349043	1246.6	695.9191378680597
SCCA2	15444-45	Protein	20.0	3.064083435963596	0.18571610747379094	1159.0	5044.012558078816
SMDF	15446-25	Protein	20.0	3.698509408026007	0.11089007539009625	4994.7	8170.869207459904
Sorbitol dehydrogenase	15447-45	Protein	20.0	4.363737925828519	0.26509290956910253	23106.7	18117.642648263958
SQSTM	15448-47	Protein	20.0	2.767823498007517	0.10298441441432413	585.9	4166.824847920169
TIM-4	15449-33	Protein	0.005	2.7496590320949	0.15673050526876212	561.9	1804.962948475256
5'-Nucleotidase	15452-5	Protein	20.0	4.018633935024163	0.10489334593658979	10438.4	3771.377057514743
a1-Microglobulin	15453-3	Protein	0.005	5.021068093316923	0.06767059206857241	104970.7	18124.669906771338
ADA15	15455-40	Protein	20.0	3.4560318318952343	0.08868191634768871	2857.8	2383.4471689086913
Aminopeptidase N	15457-14	Protein	20.0	3.104008850999243	0.09125635549988442	1270.6	10609.500006121803
CD26	15460-9	Protein	20.0	3.209407768096376	0.09253218580233012	1619.6	1040.757881331217
CD8A	15462-28	Protein	20.0	4.232955472749951	0.1348256339257993	17098.4	5844.354389412345
CNPY4	15465-79	Protein	0.5	3.7385823862327427	0.2934012990822525	5477.5	9457.281393803023
CO9A1	15466-30	Protein	20.0	2.342422680822206	0.08597898924457774	220.0	974.158245869751
CTHR1	15467-10	Protein	0.5	4.6461467988753045	0.1257436747411273	44273.8	13451.169222869263
FHR1	15468-14	Protein	0.005	4.741993361146794	0.09601698636366453	55206.9	13027.247224030247
Hexosaminidase B	15470-11	Protein	0.5	2.972573080926555	0.13030735707248203	938.8	842.7244901717246
LIPR2	15471-29	Protein	0.5	2.9218944709291024	0.21483334035924584	835.4	2572.149721109764
LRP11	15472-16	Protein	0.5	3.471731651480051	0.09122189680823271	2963.0	739.1451996616983
PIN1	15474-7	Protein	20.0	3.9070941239669446	0.4157440158344637	8074.1	9993.276435708876
PLTP	15475-4	Protein	0.005	4.150470908655554	0.09804008360998671	14140.7	4124.113567888752
REG3G	15476-6	Protein	20.0	3.4777577533081705	0.19580790422823924	3004.4	2745.458152080061
VNN2	15480-2	Protein	0.5	3.0806625563941825	0.1497096620635101	1204.1	1192.1949538508527
LL-37	15481-45	Protein	0.5	4.545649715120559	0.1485723748076309	35127.7	14692.828218492155
A2ML1	15482-12	Protein	20.0	2.919757780501894	0.11125909440565107	831.3	1968.8765762716641
Agrin	15483-377	Protein	0.5	3.547331572835672	0.09840454833796913	3526.4	1014.7138133292124
ABP1	15486-126	Protein	20.0	3.588932452323186	0.22992587381714108	3880.9	5336.123969531723
carboxylesterase, liver	15487-164	Protein	20.0	3.751340701668986	0.12650814092866078	5640.8	3330.1233407933732
CD248	15491-20	Protein	0.5	4.002153097548626	0.11683129535429738	10049.7	2858.7794454222976
CRIM1	15492-1	Protein	20.0	2.495821753385906	0.062078691291175526	313.2	567.0321712254369
FGFP1	15494-11	Protein	20.0	3.1291741029677675	0.16341846771540947	1346.4	8034.381752868138
FOLR3	15495-9	Protein	20.0	2.4720246977002813	0.13317843198760793	296.5	2785.4001136729307
HS3S1	15497-9	Protein	20.0	3.091877899629413	0.07701893988122241	1235.6	1196.033808243169
Attractin	15499-11	Protein	0.005	3.0233759381395626	0.07882785367346384	1055.3	1201.3928749348413
Lefty-A	15503-15	Protein	20.0	4.137699004259602	0.10565209891609635	13730.9	3676.993209448042
Lefty-A	15503-20	Protein	20.0	3.0134271270706963	0.15757777792273	1031.4	729.1785819922862
Livin B	15504-39	Protein	20.0	2.998259338423699	0.05718262574368528	996.0	1546.241391287152
LRP12	15506-34	Protein	20.0	2.7798849631926443	0.09137642651645433	602.4	1303.051958113391
NAG	15509-2	Protein	20.0	3.8443528963108933	0.16859551670069114	6988.0	3981.639951509841
NPTXR	15511-37	Protein	20.0	3.0649444260386174	0.12183409572008468	1161.3	677.341478531675
Prostasin	15513-108	Protein	20.0	3.2762549480217253	0.10445722330201015	1889.1	1326.079982792882
Pseudocholinesterase	15514-26	Protein	0.005	3.956902842964416	0.12850535671887178	9055.3	2799.2907888089394
SAA	15515-2	Protein	0.5	4.290539880646868	0.5849831641964892	19522.7	74322.64824363681
SAA-4	15516-12	Protein	0.005	4.742689789447757	0.12100171076012627	55295.5	19177.68307634538
Alcadein alpha-1	15521-4	Protein	0.5	3.30847904016173	0.08682103468157136	2034.6	721.882709699087
GAPR1	15522-2	Protein	0.5	4.462110369775256	0.11100548281827681	28980.8	7075.545603915286
HEM2	15523-9	Protein	20.0	4.162152019330982	0.2486945326108563	14526.2	12123.70187245466
PGAM2	15524-30	Protein	20.0	3.177882643265325	0.26488924061971514	1506.2	2859.8187490427313
ADH1G	15525-294	Protein	0.5	3.2322335211147335	0.3441001947775951	1707.0	2853.542210262068
GSHB	15526-33	Protein	0.5	3.265478203580642	0.10295228774926722	1842.8	594.248777668777
DLDH	15527-90	Protein	0.5	3.661689665320836	0.11242420443947647	4588.7	3350.2530895350023
Cysteine-rich protein 1	15529-33	Protein	20.0	4.777341985298303	0.48424860391580743	59888.3	65049.97309796978
EphB4	15530-33	Protein	20.0	3.7364921162238023	0.0879456039567114	5451.2	1522.4213916032143
Macrophage scavenger receptor	15533-97	Protein	20.0	3.9585591054786144	0.15750529298018914	9089.9	4049.9737984738117
Malate dehydrogenase 2	15534-26	Protein	20.0	4.315500129816331	0.4516554425640922	20677.6	28587.427180963852
Marapsin	15535-3	Protein	20.0	3.2347955882206425	0.1193848787393716	1717.1	1650.9879951238556
SLIK1	15539-15	Protein	20.0	3.0359897569364267	0.10690678099509601	1086.4	2761.0882112813338
Vimentin	15540-6	Protein	0.5	3.29821972335309	0.10959365542882411	1987.1	11925.817233424115
KCRU	15542-19	Protein	20.0	4.477364391557566	0.1608615285320145	30016.8	13431.475593530191
kallikrein 14	15544-25	Protein	20.0	3.5200378739208706	0.14257366983581496	3311.6	1376.3633944059768
Calcineurin B a	15545-13	Protein	20.0	3.7259034687882124	0.15984060942400408	5319.9	3950.4203422075952
SERA	15548-35	Protein	0.5	3.0282458165724737	0.10308817583454156	1067.2	1663.4486162362457
ACES	15553-22	Protein	20.0	2.835563751669097	0.07754531300281851	684.8	794.3568145894301
Alpha-amylase 2B	15556-49	Protein	0.5	3.1691452009911982	0.1864219374308918	1476.2	1772.7283416670225
AMPE	15558-63	Protein	20.0	3.5938949816955623	0.11424274997201143	3925.5	1452.085198488465
ANTR2	15559-5	Protein	0.5	3.710193550443457	0.15132109808660416	5130.9	1912.2137645603605
Apo-TC II	15560-52	Protein	20.0	5.052330274837209	0.17109781661487813	112805.5	64087.8482787945
BGLR	15562-24	Protein	0.5	3.437243061177006	0.2425444217734117	2736.8	2382.2690437202755
CA125	15565-102	Protein	20.0	2.0034605321095063	0.12510559235170196	100.8	1059.493749356333
Calponin-1	15566-10	Protein	20.0	3.4622482153549976	0.11551357955856728	2899.0	2399.980356697803
CD3-zeta	15567-2	Protein	20.0	2.6754116937148633	0.08460096472888069	473.6	733.516250232899
Collagen II	15569-15	Protein	0.5	2.8180278418592564	0.07674505237805729	657.7	886.5787767129058
Complement receptor type 2	15570-99	Protein	0.5	3.7329483374228967	0.17920919023111342	5406.9	2540.448971547373
CSPG3	15573-110	Protein	20.0	3.426625106418247	0.12384437465184078	2670.7	777.5305262972134
Cyclin A	15574-37	Protein	20.0	2.8988348380682742	0.058465892748070916	792.2	1280.9865321768793
ECP	15576-158	Protein	20.0	4.352217260280247	0.1435731339854137	22501.8	19125.206733282994
ENPP6	15579-26	Protein	20.0	2.8758133888397577	0.08206084413585661	751.3	1330.1275520586
EPHA7	15580-2	Protein	20.0	2.910891088644528	0.07158407472544946	814.5	1367.0156884062885
FANK1	15581-16	Protein	20.0	2.5841049703994527	0.08534955914229723	383.8	1141.1681532852429
FCN1	15582-25	Protein	20.0	3.6558009009613737	0.10790396131126234	4526.9	2166.159238536541
FCRLB	15583-18	Protein	20.0	2.731266349075492	0.1200297349515238	538.6	1158.247992637959
FHR2	15584-9	Protein	0.005	4.011515466132567	0.15254295846330618	10268.7	4059.106989394359
fibulin 5	15585-304	Protein	0.5	3.819662363342967	0.10150867811438288	6601.8	2291.578067712448
FOLR2	15587-20	Protein	0.5	2.9617532141867824	0.10253349489414673	915.7	797.7028021534944
galactosidase, alpha	15588-17	Protein	20.0	3.292100938480419	0.11537552856640781	1959.3	1417.4893895959315
Gc-Globulin, Mixed Type	15589-1	Protein	0.005	4.283638128609829	0.08018165535743087	19214.9	4369.293981357159
Glutathione peroxidase	15591-28	Protein	20.0	3.795553305034453	0.3277254665365444	6245.3	9074.083692596992
HTRA1	15594-47	Protein	0.5	4.326888619907437	0.1257683405280053	21227.0	7121.997030358438
HEXI1	15596-7	Protein	20.0	3.4892692457580203	0.48871897446018103	3085.1	7343.595575416291
IL-6 sRa	15602-43	Protein	0.5	3.5833914989856166	0.11706652603490834	3831.7	1037.8444681340413
Integrin alpha-2	15603-20	Protein	20.0	2.5161385767170743	0.11092037862571233	328.2	854.0429793857535
JNK2	15604-18	Protein	20.0	3.7995955364223613	0.2307734581065415	6303.7	7705.508852914507
Keratin 19	15606-19	Protein	0.5	3.236612828199769	0.12947879168416795	1724.3	1039.1667991560985
KPYR	15607-56	Protein	20.0	3.785586064349684	0.2632712892712099	6103.6	10162.674363268836
KS6B1	15608-5	Protein	20.0	2.9664702637292844	0.2613167856651127	925.7	1938.5054649665822
LAP	15610-72	Protein	20.0	3.3872296062005294	0.41199638168225877	2439.1	4329.204617899814
LIN7B	15612-5	Protein	20.0	2.8221680793680175	0.16274665097489005	664.0	856.742297414151
LIPP	15613-16	Protein	0.5	2.9599472157084987	0.19366971770249697	911.9	865.1561103119226
LIRA2	15614-168	Protein	20.0	3.7958452723957063	0.12176312674670858	6249.5	10961.836728499955
LIRB3	15615-8	Protein	20.0	3.2084144809484814	0.25285769742909536	1615.9	3831.1113263160382
lymphotactin beta	15617-8	Protein	0.5	3.438811227509573	0.07457713357403914	2746.7	3665.6014414330766
MOG	15619-49	Protein	20.0	2.3669829759778507	0.062393059217435376	232.8	450.2362968261788
NLGN1	15620-4	Protein	20.0	3.136276535660292	0.07584929807835247	1368.6	1034.1696166636234
OBCAM	15622-13	Protein	20.0	3.2829618035343353	0.0867417765529565	1918.5	3543.9261266452727
PD-1	15623-1	Protein	20.0	2.861175835513029	0.08437036902727582	726.4	2127.7915187212043
Perlecan	15626-223	Protein	0.5	3.1816435378393484	0.07397679908992517	1519.3	910.068501362013
PKB	15627-83	Protein	20.0	3.9447934762774146	0.5113163981694274	8806.3	14683.102255025164
PSG1	15631-18	Protein	20.0	2.606488850442648	0.08196256011106204	404.1	832.5332938832931
RBP	15633-6	Protein	0.005	3.5679434181143193	0.13262866149088065	3697.8	1786.414652467841
SLIT1	15634-139	Protein	20.0	2.581722159949099	0.0643446793743602	381.7	913.423019508945
SMOC2	15635-4	Protein	0.5	3.088773767310448	0.10760195210810863	1226.8	452.4660640981862
SORC1	15636-49	Protein	20.0	2.7563317673210577	0.06976689808685119	570.6	859.9209674484281
SORC3	15637-38	Protein	20.0	2.562768543016519	0.06354385515664246	365.4	593.0703292589197
TAGL	15640-54	Protein	0.5	3.4112323715410695	0.1381635771270712	2577.7	1339.8703672406784
TEFF1	15641-20	Protein	20.0	2.953227971559854	0.10020033618663962	897.9	1069.8949381931184
Biotinidase	15644-1	Protein	0.005	3.340939602038078	0.09505901965763633	2192.5	626.3376886591834
COAA1	15653-9	Protein	20.0	2.8708718950677428	0.19842599748578213	742.8	3426.6119210844595
BMP-2	15666-21	Protein	20.0	2.4899584794248346	0.06890200538061308	309.0	534.5610513894364
BMP-4	15667-39	Protein	20.0	3.0304782806224084	0.10224361326975152	1072.7	418.3715133968148
BMP-8	15668-19	Protein	20.0	3.322839272686321	0.10819466237404442	2103.0	1570.4802123038257
BRAF1	15669-7	Protein	20.0	3.2126669287934235	0.17835293883907238	1631.8	4265.3959395886895
C1QL2	15670-15	Protein	20.0	2.8174992618677583	0.10437272098250068	656.9	2449.694433834114
CD79A	15674-3	Protein	20.0	3.0134692323091703	0.1698203719678552	1031.5	1206.6912978250455
CEBPB	15675-3	Protein	20.0	3.0993698263898386	0.15017157759985966	1257.1	1577.6817229220167
DKK2	15678-71	Protein	20.0	4.216590748590157	0.23239940255052421	16466.1	11025.774069446286
INHBC	15686-49	Protein	0.5	3.1564582852404564	0.20588431738492297	1433.7	1276.828859344982
Mannose-binding lectin	15688-30	Protein	20.0	2.7197454925295768	0.07369376162945548	524.5	396.5368216345057
NODAL	15692-300	Protein	20.0	2.522574632691177	0.06538054121966966	333.1	611.9227440543938
PgR	15693-9	Protein	20.0	3.98729973017777	0.2442429898855931	9711.8	16771.457616172753
TXLNA	15698-6	Protein	20.0	2.479143247978613	0.11260541850728886	301.4	989.8483278386667
ALT	16015-19	Protein	20.0	3.946049225706698	0.12053612681945684	8831.8	4108.609592875993
Cadherin-8	16021-30	Protein	20.0	3.0003472966853635	0.18053682742028315	1000.8	754.7769238797734
VEGF sR3	16035-8	Protein	20.0	3.962482985657211	0.09693272815796658	9172.4	5821.646122799901
SHC1	16043-30	Protein	20.0	3.740433750050123	0.35646306252768667	5500.9	10149.173459544687
OLR1	16049-43	Protein	20.0	3.0784930681665728	0.2797702039571938	1198.1	2121.4752578482535
complement factor H-related 5	16055-3	Protein	0.5	4.947786993878208	0.11792766392460469	88672.1	24634.81447835416
IGF-II receptor	16057-6	Protein	0.5	3.8477021878940394	0.0869691413448672	7042.1	1919.4943531115975
NID2	16060-99	Protein	20.0	3.527127013839176	0.1512504248816789	3366.1	2111.266929208232
WIF-1	16070-7	Protein	20.0	3.1458177144918276	0.0832103166737119	1399.0	770.3933718045703
GRB2-related adapter protein 2	16074-12	Protein	20.0	3.275932975821708	0.14214223812568902	1887.7	2319.2603409288095
TEC	16079-2	Protein	20.0	3.607776603741693	0.3029656242416183	4053.0	5508.417047158805
Aldose reductase-like	16081-38	Protein	20.0	3.699126322213974	0.17276927607494547	5001.8	4763.627265502024
EPHA4	16288-17	Protein	0.5	4.21335038191977	0.08109602748685815	16343.7	3191.3457268821003
GIP	16292-288	Protein	0.5	3.165719029800832	0.23916103332571945	1464.6	1226.151304248304
Growth hormone-releasing factor	16293-1	Protein	20.0	3.0097482559485536	0.11208983403246334	1022.7	1240.3588802392667
LGR5	16296-43	Protein	20.0	2.9583727324786073	0.08446222590750094	908.6	1195.3167390629208
ROBO4	16297-14	Protein	20.0	2.522313795156667	0.10775722635586898	332.9	2247.377378028936
sPLA(2)-IID	16298-84	Protein	20.0	2.266231696689893	0.07973099018033057	184.6	748.7541572038624
TIGIT	16299-13	Protein	20.0	2.9925093350677754	0.1529327883023522	982.9	891.2037090644412
TREM2	16300-4	Protein	20.0	4.1638170938993255	0.17866816811960454	14582.0	7869.117254963976
SPLC2	16302-11	Protein	0.5	3.0030725959676747	0.14126997901652052	1007.1	864.0186930193869
LGR4	16304-6	Protein	20.0	3.0677402029262404	0.10385344620010938	1168.8	1112.5687854445903
Cadherin-11	16305-10	Protein	0.5	3.347622699467242	0.24261522210689995	2226.5	2454.9766406509907
UNC5H4	16307-22	Protein	20.0	3.121395680707223	0.09224123642075013	1322.5	507.80607456398565
BTLA	16308-14	Protein	20.0	3.266137581513037	0.12236976270512559	1845.6	1650.2651171184764
Soggy-1	16309-30	Protein	20.0	3.0678145111618402	0.10707634888809821	1169.0	1046.0874401803687
Cadherin-6	16312-45	Protein	20.0	2.8486816540239506	0.11292384936827313	705.8	807.9690260985423
VEGF sR1	16315-105	Protein	20.0	2.8504011479971583	0.09436722475485092	708.6	1214.6054790551498
Desmoglein-3	16317-20	Protein	0.5	3.379414304412171	0.33846283697435414	2395.6	2884.991759140843
ALK-1	16318-12	Protein	20.0	2.650598898172657	0.0648534869192709	447.3	614.4370814327652
CD320	16320-139	Protein	20.0	2.9377685670499356	0.13098665061604267	866.5	3376.5899313931486
PACAP	16322-10	Protein	20.0	4.107871086690162	0.1978077042188724	12819.5	8154.252306259584
NRX3A	16323-8	Protein	20.0	3.6607896120796823	0.09256794008291529	4579.2	5278.614507129745
TLR1	16324-38	Protein	20.0	2.8822398480188234	0.09266048998912747	762.5	980.3062004218338
GFP_AEQVI	16535-61	Non-Human	20.0	2.4394905903896835	0.08248797085066968	275.1	836.1344110534477
HMGA1	16536-3	Protein	20.0	2.5440680443502757	0.06784015701850625	350.0	1168.3112122702182
STA5B	16551-14	Protein	20.0	3.121723945637367	0.08684195250439188	1323.5	799.2841228524865
MYOC	16558-2	Protein	0.5	3.3900161146118943	0.11892792883337507	2454.8	970.3505030992345
Alpha-1B-glycoprotein	16561-9	Protein	0.005	3.2085488417706105	0.09374212556070005	1616.4	804.8922004899368
AP4A	16583-8	Protein	20.0	3.7616647776784125	0.5327825634041771	5776.5	11306.44303869761
B3GN4	16585-16	Protein	20.0	2.6406801532776654	0.11043489474693724	437.2	1559.3931057268253
Beta-casein	16587-1	Protein	20.0	2.5185139398778875	0.1828972913783823	330.0	690.7065511587441
BiP	16588-10	Protein	20.0	4.009710035333198	0.13764521971009572	10226.1	4232.374428610509
CHIA	16591-71	Protein	20.0	3.0117395613883184	0.08308176251560233	1027.4	947.1895963947129
FADD	16593-3	Protein	0.5	3.553470372213121	0.08752908916638011	3576.6	862.7081538106102
FAIM1	16594-44	Protein	20.0	2.745777217889759	0.13611951896831884	556.9	867.2063535456812
GLRX3	16596-25	Protein	20.0	4.027068142696396	0.36773683123008316	10643.1	14582.198849407334
GLRX5	16597-11	Protein	20.0	2.5161385767170743	0.10897430378070928	328.2	1263.0166419843647
GPN1	16599-38	Protein	20.0	2.8077379220141006	0.2609229385122146	642.3	3857.063514369418
C1T9A	16605-2	Protein	20.0	2.772101569277012	0.08329518992260412	591.7	2211.4114227371974
Aldose reductase	16606-85	Protein	20.0	3.971776668876523	0.2213059760134947	9370.8	7157.260853396537
Gelsolin	16607-78	Protein	0.005	5.003485951379914	0.06776784170189967	100805.9	16259.387433488424
KIRR2	16609-106	Protein	20.0	2.701913211212344	0.09297574443556299	503.4	374.3650509168322
LRP10	16610-13	Protein	20.0	3.75700103605829	0.06727430554054396	5714.8	1109.2219121498467
SDC3	16612-28	Protein	0.5	3.390511198351418	0.11670298791957642	2457.6	1131.7510303773395
CAD17	16613-3	Protein	0.5	3.5707413624552555	0.18369282784208213	3721.7	2809.802061324384
RSPO1	16614-27	Protein	20.0	3.373665842991645	0.15827955514035597	2364.1	2231.5729630783953
ENOB	16616-137	Protein	20.0	3.072323438293041	0.22865420194085334	1181.2	2716.255810271643
Caspase-14	16617-14	Protein	0.5	2.8281441073037863	0.0728330347119945	673.2	1189.0979426186693
CD69	16618-7	Protein	20.0	2.2268575702887237	0.19207223936701154	168.6	713.2243666954722
LY75	16620-26	Protein	20.0	3.7863609493332064	0.14364319566686679	6114.5	2410.7418936712206
AIBP	16621-77	Protein	0.5	3.7100496335954745	0.1700169326426203	5129.2	3038.77921159509
Activin B	16746-12	Protein	20.0	3.2137832993353044	0.11106535272629842	1636.0	7101.463492897669
BMP-3	16748-1	Protein	20.0	3.363762358869375	0.11868848977858722	2310.8	2754.5462258302687
BMP-3b	16749-79	Protein	20.0	3.246276945434061	0.09295019392780705	1763.1	1945.8231665422136
BNP	16751-15	Protein	20.0	2.5795549604009986	0.08351337943819288	379.8	777.1657232028024
CO6A2	16753-46	Protein	20.0	2.8795546009389743	0.06261901638525175	757.8	1038.7368328933676
CSKP	16754-40	Protein	20.0	3.1120685042681973	0.10255849948661473	1294.4	2507.6691520516542
GDF-3	16755-195	Protein	20.0	3.195235254806065	0.08906108377725057	1567.6	1438.70720093203
GDF7	16756-30	Protein	20.0	2.7060346607143506	0.08017703925901794	508.2	1025.2786828988415
HDGF	16758-96	Protein	20.0	3.6291750575404063	0.17785161261971483	4257.7	15353.363905520528
IL-26	16760-2	Protein	0.5	3.5990420402827	0.14061462719521595	3972.3	11840.98106345492
LECT2	16763-11	Protein	0.5	4.082056148692198	0.16125612781160525	12079.7	4829.584859233277
PBP	16765-52	Protein	0.5	3.992827350690238	0.196200149764559	9836.2	6871.640268043396
PLAK	16768-3	Protein	20.0	2.838156184752148	0.10979382304088507	688.9	6194.271326656408
RAC3	16769-20	Protein	20.0	2.957463615729931	0.2059188360134264	906.7	1681.325200709159
REG1B	16770-3	Protein	0.5	4.347314399953728	0.1314930687867081	22249.2	10075.638268286435
SCUB3	16773-29	Protein	20.0	2.473778834646725	0.12439666611886642	297.7	1024.620811053771
HSP 70	16780-6	Protein	20.0	4.026410680578774	0.10383185067483183	10627.0	11229.59884087272
ENASE	16781-2	Protein	20.0	2.7388598020722004	0.1039322840723129	548.1	1572.3773681313576
HD-5	16785-45	Protein	0.5	3.4417736628051845	0.1795245098782493	2765.5	1965.5636362571352
Siglec-5	16792-4	Protein	0.5	4.0753279341632584	0.16425172382664327	11894.0	5759.7740055899485
OCAD1	16802-31	Protein	20.0	3.2686013707396633	0.1187486346505111	1856.1	1423.38839904041
CALB2	16803-4	Protein	20.0	2.664077590185075	0.12820196718690105	461.4	6000.509040778232
PDE5A	16805-5	Protein	20.0	4.603827226570599	0.4816175733576477	40163.1	44124.734652249484
